(26.457275390625, 26.192581176757812)
(52.187782287597656, 26.198348999023438)
(77.91959381103516, 26.186697006225586)
(103.66326141357422, 26.156522750854492)
(129.34054565429688, 26.21608543395996)
(52.189510345458984, 51.89592361450195)
(26.435625076293945, 51.96502685546875)
(77.9271469116211, 51.93385314941406)
(103.64774322509766, 51.92189025878906)
(129.2946014404297, 51.93771743774414)
(26.46415138244629, 77.64361572265625)
(52.169776916503906, 77.67286682128906)
(77.90641784667969, 77.63063049316406)
(103.61393737792969, 77.66385650634766)
(129.34909057617188, 77.6475830078125)
(26.46416473388672, 103.3535385131836)
(52.177555084228516, 103.32009887695312)
(77.9241943359375, 103.31690216064453)
(103.63072967529297, 103.3375473022461)
(129.3924560546875, 103.34237670898438)
(26.423776626586914, 129.04080200195312)
(52.131229400634766, 129.04043579101562)
(77.94081115722656, 129.03607177734375)
(103.6445083618164, 129.0431671142578)
(129.3685760498047, 129.05227661132812)
(26.439544677734375, 154.7957763671875)
(52.14250564575195, 154.80813598632812)
(77.8969497680664, 154.76312255859375)
(103.62266540527344, 154.78213500976562)
(129.30873107910156, 154.78463745117188)
(26.43867301940918, 180.4818572998047)
(52.18089294433594, 180.5026092529297)
(77.88190460205078, 180.5131378173828)
(103.63079071044922, 180.5024871826172)
(129.36146545410156, 180.5069122314453)
(26.44864845275879, 206.16940307617188)
(52.14606857299805, 206.15231323242188)
(77.92644500732422, 206.1767120361328)
(103.63795471191406, 206.23008728027344)
(129.36415100097656, 206.1937713623047)
(26.458148956298828, 231.913330078125)
(52.15291976928711, 231.91575622558594)
(77.94632720947266, 231.9363250732422)
(103.64701843261719, 231.93247985839844)
(129.3391876220703, 231.92971801757812)
(26.425870895385742, 257.6168518066406)
(52.1917610168457, 257.6269836425781)
(103.62036895751953, 257.60736083984375)
(77.90658569335938, 257.6572570800781)
(129.34671020507812, 257.623046875)
(26.461503982543945, 283.35308837890625)
(52.158660888671875, 283.3292541503906)
(77.89268493652344, 283.3418884277344)
(103.62030792236328, 283.3461608886719)
(129.34344482421875, 283.3608093261719)
(26.461502075195312, 309.0460205078125)
(52.15483093261719, 309.0594482421875)
(103.65229797363281, 309.02301025390625)
(77.90917205810547, 309.07379150390625)
(129.37521362304688, 309.0533752441406)
(26.445589065551758, 334.7762451171875)
(52.11226272583008, 334.8375549316406)
(77.90010833740234, 334.822021484375)
(103.63064575195312, 334.7768859863281)
(129.39356994628906, 334.7953796386719)
(26.452041625976562, 360.4899597167969)
(52.157371520996094, 360.5100402832031)
(77.91907501220703, 360.492919921875)
(103.6352310180664, 360.50054931640625)
(129.36485290527344, 360.48846435546875)
(26.42272186279297, 386.1691589355469)
(52.17588424682617, 386.20330810546875)
(77.93965911865234, 386.1621398925781)
(103.62935638427734, 386.1993713378906)
(129.33718872070312, 386.2123718261719)
(26.44313621520996, 411.9203186035156)
(52.14741134643555, 411.9585266113281)
(77.90861511230469, 411.9224548339844)
(103.61659240722656, 411.90594482421875)
(129.31167602539062, 411.9218444824219)
(26.461597442626953, 437.6371765136719)
(52.157379150390625, 437.6468200683594)
(77.92487335205078, 437.6533203125)
(103.61934661865234, 437.6204833984375)
(129.34527587890625, 437.6054382324219)
(26.439659118652344, 463.3288269042969)
(52.15089797973633, 463.2839050292969)
(77.90345001220703, 463.313232421875)
(129.321533203125, 463.2920227050781)
(103.63259887695312, 463.36004638671875)
(26.39708709716797, 489.04302978515625)
(52.18683624267578, 489.0529479980469)
(77.9478759765625, 489.03326416015625)
(103.65538024902344, 489.0732116699219)
(129.30972290039062, 489.0391540527344)
(26.463287353515625, 514.776611328125)
(52.1501579284668, 514.8167114257812)
(77.93885040283203, 514.8291625976562)
(103.61080932617188, 514.7885131835938)
(129.3638916015625, 514.7730712890625)
