Qnumber,alternative,x_pos,y_pos,key,STATUS
1,a,26,26,14066,WRONG
3,a,26,77,41606,WRONG
4,a,26,103,55646,CORRECT (row 48)
6,a,26,154,83186,WRONG
7,a,26,180,97226,WRONG
9,a,26,231,124766,CORRECT (row 99)
10,a,26,257,138806,WRONG
11,a,26,283,152846,CORRECT (row 131)
12,a,26,309,166886,WRONG
14,a,26,360,194426,WRONG
15,a,26,386,208466,WRONG
16,a,26,411,221966,WRONG
17,a,26,437,236006,CORRECT (row 232)
18,a,26,463,250046,WRONG
